time	e1	e2	Y	X
0	-.486850380897522	.429790735244751	0	0
1	-1.476003766059875	.0471824817359447	-1.4760038	.047182482
2	-.0109114916995168	.4970872402191162	-.47730386	1.1016434
3	-.0137602519243956	.1534979641437531	-.70777315	.67491257
4	.5155788064002991	1.590046048164368	-.034209423	2.075629
5	-.1391217261552811	-.4036784768104553	-1.187199	.23269399
6	1.287317276000977	1.441408276557922	.81481057	1.986096
7	-.5877729654312134	.3004139959812164	-1.3363779	.57031858
8	-.0306004546582699	-1.424804210662842	-.71667308	-.71915752
9	-2.19684362411499	-1.69589638710022	-2.0522668	-1.6249744
10	-.9155009388923645	-1.478433847427368	-.71869379	-1.1450194
11	-.2230016887187958	.4309993386268616	.13389988	.37497103
12	.4945496320724487	.1927290856838226	.34723407	.25166044
13	-.2623107731342316	-.6933351755142212	-.28397077	-.75673068
14	.3661238849163055	.0181867126375437	.659298	-.095244184
15	-.9624650478363037	-.4789543151855469	-.71705353	-.77124679
16	.2532923221588135	.3310970664024353	.42379966	.38654444
17	2.284248828887939	1.738223671913147	2.2181165	1.6846671
18	.322380930185318	-.4211409687995911	.14548233	-.80298746
19	-.4059046506881714	.5287041664123535	.039233778	.229615
20	-.6211073398590088	-.8205097317695618	-.7241447	-.76731873
21	.1321814507246017	.7869441509246826	.2985974	.8464064
22	2.037848711013794	1.025542378425598	1.7042247	1.1600254
23	1.164892911911011	.1024517640471458	1.0961477	-.23123051
24	1.049514412879944	.6976494789123535	1.493974	.18982126
25	.3293923437595367	.1339969784021378	.68267393	-.40664622
26	.7287013530731201	-.3508754074573517	1.1368266	-.74593884
27	.815217137336731	-1.232619047164917	1.5292345	-1.9111314
28	.8828247785568237	1.339975714683533	2.2971609	.15494248
29	-.0213917531073093	.1962983906269073	.59028524	-.67608321
30	.9599125981330872	-.1626014113426208	1.4750397	-.60154045
31	.6054104566574097	.341580331325531	1.3486927	-.42889768
32	-.6521158814430237	-1.46551501750946	-.033059247	-2.1336613
33	.7883045077323914	.1441426426172256	1.8452173	-.48273203
34	-2.079253911972046	-1.941009283065796	-1.2843227	-2.8239157
35	.4353854358196259	1.130768179893494	1.4620465	.79732257
36	.8039326071739197	.4437568187713623	.8438853	.098134987
37	1.953395247459412	1.740559816360474	2.1574934	1.4324462
38	-1.299420356750488	-1.18375039100647	-1.3683954	-1.6170138
39	-.1283343732357025	.8423115015029907	.26965389	.90456551
40	.4324251711368561	.2196919173002243	.06103858	.38320002
41	-2.33370566368103	-2.830924987792969	-2.506994	-2.7403805
42	-.7645378112792969	-1.260661840438843	-.14644575	-1.0799783
43	1.016078352928162	1.200667858123779	1.5121338	.93525267
44	.1872038245201111	-.0495111122727394	.17321764	-.37378883
45	-.3145866096019745	-.5676340460777283	-.075726904	-.74905777
46	.4677534401416779	-.0827198103070259	.81956428	-.27714637
47	.809837818145752	1.060913443565369	1.1942803	.64994383
48	-.576578676700592	-1.324075102806091	-.54326653	-1.606804
49	-1.377748370170593	-.7559861540794373	-.73732632	-1.0207207
50	.0422320142388344	1.314246535301208	.33139446	1.3029609
51	1.163267612457275	.1102672442793846	.61120552	.36859772
52	.0146969445049763	.1827946305274963	.013759742	.048891738
53	.0007111489539966	1.48769223690033	-.019606797	1.4968559
54	-.6886310577392578	.3511111438274384	-1.4429411	.80801064
55	.6953908801078796	.3358018696308136	-.14149676	1.1553814
56	-.0475542023777962	-.2739837765693665	-.66769397	.12922937
57	.4600376486778259	.1256430745124817	.19511478	.43148947
58	.6942165493965149	1.825450658798218	.53700626	1.8768516
59	-.603644073009491	-.8996233344078064	-1.380968	-.55137038
60	1.429279446601868	.9841250777244568	1.2906742	1.3711011
61	-.777720034122467	-.4254868924617767	-1.0760684	-.53042626
62	.3661322891712189	.7299747467041016	.30852491	1.0012742
63	-.1939825862646103	-.6639420986175537	-.60206223	-.4869698
64	1.639436602592468	1.266678810119629	1.7023028	1.3614128
65	-.3533281087875366	-.0376223102211952	-.52334362	-.3101196
66	-.1493879854679108	-.1070233955979347	-.15133128	.0092781736
